Location,Year,Average_Rent,Average_Earnings,CPI_Index,Affordability_Ratio,Real_Rent,Rent_YoY_Growth,Income_YoY_Growth
"Ardee, Louth",2024,1186.4,350.1716666666666,101.09583333333335,3.388052526617898,1173.5399579606808,9.607265269167886,4.4378516666571555
"Arklow, Wicklow",2008,817.54,263.2414696969697,84.23125,3.105665687633148,970.5898938932996,,
"Arklow, Wicklow",2009,773.85,256.8306666666667,79.36041666666667,3.0130747626192096,975.1082876118974,-5.344081023558478,-2.4353317270576103
"Arklow, Wicklow",2010,710.31,256.01466666666664,79.12083333333334,2.7744894823734056,897.7534361999052,-8.210893584027923,-0.31771906781642434
"Arklow, Wicklow",2011,681.18,251.39683333333335,81.60104166666666,2.709580669605358,834.7687555050614,-4.101026312455125,-1.8037378066881438
"Arklow, Wicklow",2012,646.89,258.9757575757576,82.85833333333333,2.4978785893145488,780.7180931308458,-5.03391174138994,3.0147254211333463
"Arklow, Wicklow",2013,630.03,260.7649393939394,83.11562500000001,2.416084008319114,758.0163176298078,-2.606316375272455,0.6908684561559575
"Arklow, Wicklow",2014,648.04,261.4159090909091,83.22708333333334,2.4789615989845504,778.6407669778966,2.8585940352046757,0.24963850526940057
"Arklow, Wicklow",2015,678.23,266.57742424242423,82.91979166666667,2.5442139443256866,817.9350024496564,4.658663045491029,1.9744456905720131
"Arklow, Wicklow",2016,737.98,269.88875757575755,82.96875,2.734385850780945,889.4674199623353,8.809695825899766,1.2421657020446064
"Arklow, Wicklow",2017,823.81,273.8105606060606,83.30520833333334,3.0086859987304866,988.9057556925461,11.630396487709692,1.4531183386556012
"Arklow, Wicklow",2018,921.11,284.1095454545454,83.72291666666666,3.2420945185995804,1100.188618209869,11.81097583180588,3.761354136848749
"Arklow, Wicklow",2019,1007.2,291.2750909090909,84.56875000000001,3.4578995301536253,1190.9836671347277,9.346332142740831,2.5221065498103545
"Arklow, Wicklow",2020,1052.73,295.81777272727277,84.11145833333333,3.558711129133399,1251.589285050838,4.520452740270042,1.5595847224710413
"Arklow, Wicklow",2021,1081.27,309.2805,86.49479166666667,3.496082035563186,1250.0983922442342,2.7110465171506393,4.551020430114283
"Arklow, Wicklow",2022,1116.17,321.86687878787876,93.921875,3.4678001172515613,1188.4025952420563,3.2276859618781684,4.069567524586493
"Arklow, Wicklow",2023,1166.26,335.2919090909091,99.559375,3.478342209813918,1171.4215763206628,4.487667649193217,4.17098843894339
"Arklow, Wicklow",2024,1281.26,350.1716666666666,101.09583333333335,3.6589482301537823,1267.3717182541318,9.860579973590799,4.4378516666571555
"Artane, Dublin 5",2008,1311.11,263.2414696969697,84.23125,4.980636225398998,1556.5600652964308,,
"Artane, Dublin 5",2009,1202.74,256.8306666666667,79.36041666666667,4.683007740508662,1515.5414380594862,-8.265515479250396,-2.4353317270576103
"Artane, Dublin 5",2010,1053.18,256.01466666666664,79.12083333333334,4.113748691481218,1331.1032703143926,-12.43494021983138,-0.31771906781642434
"Artane, Dublin 5",2011,999.26,251.39683333333335,81.60104166666666,3.9748312926243434,1224.5677010863321,-5.119732619305351,-1.8037378066881438
"Artane, Dublin 5",2012,990.64,258.9757575757576,82.85833333333333,3.8252229060869154,1195.5828220858896,-0.8626383523807624,3.0147254211333463
"Artane, Dublin 5",2013,1023.35,260.7649393939394,83.11562500000001,3.9244156149919296,1231.2366056322142,3.3019058386497546,0.6908684561559575
"Artane, Dublin 5",2014,1112.83,261.4159090909091,83.22708333333334,4.25693296123384,1337.1008035244936,8.743831533688361,0.24963850526940057
"Artane, Dublin 5",2015,1155.82,266.57742424242423,82.91979166666667,4.3357760068568405,1393.9012348780825,3.8631237475625246,1.9744456905720131
"Artane, Dublin 5",2016,1226.66,269.88875757575755,82.96875,4.5450577898031845,1478.460263653484,6.128982021422025,1.2421657020446064
"Artane, Dublin 5",2017,1398.52,273.8105606060606,83.30520833333334,5.107618920557605,1678.7905918247407,14.010402230446894,1.4531183386556012
"Artane, Dublin 5",2018,1560.25,284.1095454545454,83.72291666666666,5.491719743184848,1863.587727374524,11.564368046220297,3.761354136848749
"Artane, Dublin 5",2019,1635.67,291.2750909090909,84.56875000000001,5.615550560451132,1934.1305151134432,4.833840730652139,2.5221065498103545
"Artane, Dublin 5",2020,1631.84,295.81777272727277,84.11145833333333,5.516369030012487,1940.0923873332754,-0.23415481117829984,1.5595847224710413
"Artane, Dublin 5",2021,1698.19,309.2805,86.49479166666667,5.490776172438935,1963.3436502679594,4.065962349249941,4.551020430114283
"Artane, Dublin 5",2022,1863.55,321.86687878787876,93.921875,5.789815985471878,1984.1490600565628,9.73742631860981,4.069567524586493
"Artane, Dublin 5",2023,2050.96,335.2919090909091,99.559375,6.116938537410143,2060.0370381995667,10.056612379598073,4.17098843894339
"Artane, Dublin 5",2024,2163.78,350.1716666666666,101.09583333333335,6.17919782202063,2140.325598648147,5.5008386316651725,4.4378516666571555
"Ashbourne, Meath",2008,1071.07,263.2414696969697,84.23125,4.068773819083146,1271.5826964457965,,
"Ashbourne, Meath",2009,956.85,256.8306666666667,79.36041666666667,3.725606495589831,1205.7018349828052,-10.664102252887297,-2.4353317270576103
"Ashbourne, Meath",2010,841.18,256.01466666666664,79.12083333333334,3.2856711334246476,1063.1586708094158,-12.088624131264048,-0.31771906781642434
"Ashbourne, Meath",2011,806.59,251.39683333333335,81.60104166666666,3.2084334130435215,988.4555191033612,-4.112080648612649,-1.8037378066881438
"Ashbourne, Meath",2012,811.04,258.9757575757576,82.85833333333333,3.131721700872902,978.827315699487,0.5517053273658146,3.0147254211333463
"Ashbourne, Meath",2013,819.39,260.7649393939394,83.11562500000001,3.1422552506652046,985.843516186036,1.0295423160386674,0.6908684561559575
"Ashbourne, Meath",2014,881.22,261.4159090909091,83.22708333333334,3.370950157794528,1058.813987834489,7.545857284077195,0.24963850526940057
"Ashbourne, Meath",2015,988.74,266.57742424242423,82.91979166666667,3.709016256008403,1192.4053113576122,12.201266426091095,1.9744456905720131
"Ashbourne, Meath",2016,1076.85,269.88875757575755,82.96875,3.9899772397808344,1297.8983050847457,8.911341707627884,1.2421657020446064
"Ashbourne, Meath",2017,1178.13,273.8105606060606,83.30520833333334,4.3027193596634525,1414.2333037400124,9.405209639225532,1.4531183386556012
"Ashbourne, Meath",2018,1272.73,284.1095454545454,83.72291666666666,4.479715730648071,1520.1692089481676,8.029674144619015,3.761354136848749
"Ashbourne, Meath",2019,1301.12,291.2750909090909,84.56875000000001,4.466979980811641,1538.5352154312318,2.2306380772041168,2.5221065498103545
"Ashbourne, Meath",2020,1361.24,295.81777272727277,84.11145833333333,4.601616689390013,1618.376410269112,4.620634530250878,1.5595847224710413
"Ashbourne, Meath",2021,1421.15,309.2805,86.49479166666667,4.5950197312795344,1643.0469079303907,4.401134259939465,4.551020430114283
"Ashbourne, Meath",2022,1483.06,321.86687878787876,93.921875,4.607681304721592,1579.0357677591082,4.356331140273717,4.069567524586493
"Ashbourne, Meath",2023,1592.26,335.2919090909091,99.559375,4.7488768945160675,1599.306946231834,7.363154558817575,4.17098843894339
"Ashbourne, Meath",2024,1654.68,350.1716666666666,101.09583333333335,4.725339476352076,1636.744013518526,3.920214035396241,4.4378516666571555
"Ashtown, Dublin 15",2008,1264.46,263.2414696969697,84.23125,4.803422505791289,1501.1768197670103,,
"Ashtown, Dublin 15",2009,1113.53,256.8306666666667,79.36041666666667,4.335658254725551,1403.1302339012416,-11.936320642804043,-2.4353317270576103
"Ashtown, Dublin 15",2010,996.63,256.01466666666664,79.12083333333334,3.892862908895845,1259.6303122860602,-10.498145537165593,-0.31771906781642434
"Ashtown, Dublin 15",2011,958.91,251.39683333333335,81.60104166666666,3.814328077587824,1175.1198029028428,-3.784754623079778,-1.8037378066881438
"Ashtown, Dublin 15",2012,957.5,258.9757575757576,82.85833333333333,3.6972572605368463,1155.5868450165945,-0.14704195388514085,3.0147254211333463
"Ashtown, Dublin 15",2013,992.86,260.7649393939394,83.11562500000001,3.8074903869652488,1194.552769109298,3.6929503916449002,0.6908684561559575
"Ashtown, Dublin 15",2014,1095.64,261.4159090909091,83.22708333333334,4.191175677907896,1316.4464692482916,10.351912656366459,0.24963850526940057
"Ashtown, Dublin 15",2015,1202.94,266.57742424242423,82.91979166666667,4.512535160914648,1450.72723389822,9.793362783395999,1.9744456905720131
"Ashtown, Dublin 15",2016,1282.19,269.88875757575755,82.96875,4.750809227909726,1545.3890772128061,6.588026002959424,1.2421657020446064
"Ashtown, Dublin 15",2017,1392.26,273.8105606060606,83.30520833333334,5.084756398432293,1671.2760556687879,8.58453115372917,1.4531183386556012
"Ashtown, Dublin 15",2018,1508.83,284.1095454545454,83.72291666666666,5.310733215901037,1802.1708512703115,8.372717739502678,3.761354136848749
"Ashtown, Dublin 15",2019,1639.03,291.2750909090909,84.56875000000001,5.627086047366657,1938.1036139235828,8.62920275975425,2.5221065498103545
"Ashtown, Dublin 15",2020,1722.11,295.81777272727277,84.11145833333333,5.821523109051625,2047.4142692607775,5.06885169887068,1.5595847224710413
"Ashtown, Dublin 15",2021,1759.01,309.2805,86.49479166666667,5.687426139055,2033.6600228819173,2.142720267578735,4.551020430114283
"Ashtown, Dublin 15",2022,1754.58,321.86687878787876,93.921875,5.451259870563843,1868.1271003160869,-0.2518462089470819,4.069567524586493
"Ashtown, Dublin 15",2023,1818.1,335.2919090909091,99.559375,5.4224392259553476,1826.1464578298123,3.6202396015000637,4.17098843894339
"Ashtown, Dublin 15",2024,1933.63,350.1716666666666,101.09583333333335,5.5219487584660865,1912.670321064996,6.354435949617754,4.4378516666571555
"Athboy, Meath",2008,731.8,263.2414696969697,84.23125,2.779957127736793,868.7986940713807,,
"Athboy, Meath",2009,690.57,256.8306666666667,79.36041666666667,2.6888144198771697,870.1693224476938,-5.634053019950791,-2.4353317270576103
"Athboy, Meath",2010,609.24,256.01466666666664,79.12083333333334,2.3797074125961535,770.0121122755279,-11.77722750771103,-0.31771906781642434
"Athboy, Meath",2011,568.25,251.39683333333335,81.60104166666666,2.260370556245405,696.3759143189043,-6.7280546254349645,-1.8037378066881438
"Athboy, Meath",2012,560.68,258.9757575757576,82.85833333333333,2.164990288081252,676.6730363069495,-1.3321601407831118,3.0147254211333463
"Athboy, Meath",2013,563.38,260.7649393939394,83.11562500000001,2.16048983160615,677.8268225739744,0.48155810801171484,0.6908684561559575
"Athboy, Meath",2014,596.97,261.4159090909091,83.22708333333334,2.283602409952792,717.2785301259105,5.962227981113988,0.24963850526940057
"Athboy, Meath",2015,651.96,266.57742424242423,82.91979166666667,2.445668465185224,786.2537844051104,9.211518166742039,1.9744456905720131
"Athboy, Meath",2016,695.41,269.88875757575755,82.96875,2.5766541972568047,838.1589453860639,6.664519295662297,1.2421657020446064
"Athboy, Meath",2017,773.39,273.8105606060606,83.30520833333334,2.8245440872994636,928.3813286984357,11.213528709682063,1.4531183386556012
"Athboy, Meath",2018,895.35,284.1095454545454,83.72291666666666,3.151425266502518,1069.4204593525271,15.76953412896469,3.761354136848749
"Athboy, Meath",2019,939.57,291.2750909090909,84.56875000000001,3.2257135241724004,1111.013228881827,4.938850728765298,2.5221065498103545
"Athboy, Meath",2020,990.63,295.81777272727277,84.11145833333333,3.3487845942011902,1177.758678340991,5.43440084293878,1.5595847224710413
"Athboy, Meath",2021,1056.6,309.2805,86.49479166666667,3.416316256602016,1221.5764436683323,6.659398564549823,4.551020430114283
"Athboy, Meath",2022,1054.56,321.86687878787876,93.921875,3.276385578942998,1122.805523207453,-0.19307211811470104,4.069567524586493
"Athboy, Meath",2023,1125.1,335.2919090909091,99.559375,3.35558350647509,1130.0794124109354,6.689045668335614,4.17098843894339
"Athboy, Meath",2024,1192.85,350.1716666666666,101.09583333333335,3.4064720637020893,1179.9200428636193,6.021686961159012,4.4378516666571555
"Athenry, Galway",2008,705.26,263.2414696969697,84.23125,2.6791371466352154,837.2901981153076,,
"Athenry, Galway",2009,645.56,256.8306666666667,79.36041666666667,2.5135627624946135,813.4533903866851,-8.464963275954974,-2.4353317270576103
"Athenry, Galway",2010,582.63,256.01466666666664,79.12083333333334,2.275768054955185,736.3800094791721,-9.748125658343131,-0.31771906781642434
"Athenry, Galway",2011,561.8,251.39683333333335,81.60104166666666,2.2347139084886374,688.4716034568594,-3.5751677737157483,-1.8037378066881438
"Athenry, Galway",2012,555.71,258.9757575757576,82.85833333333333,2.1457993026140274,670.6748466257669,-1.0840156639373322,3.0147254211333463
"Athenry, Galway",2013,565.01,260.7649393939394,83.11562500000001,2.1667406719368643,679.7879460089483,1.673534757337447,0.6908684561559575
"Athenry, Galway",2014,582.51,261.4159090909091,83.22708333333334,2.2282882553923997,699.9043780820546,3.0972903134457885,0.24963850526940057
"Athenry, Galway",2015,641.35,266.57742424242423,82.91979166666667,2.4058676454790837,773.4582867479869,10.101114143963198,1.9744456905720131
"Athenry, Galway",2016,694.79,269.88875757575755,82.96875,2.5743569544758564,837.4116760828624,8.332423793560451,1.2421657020446064
"Athenry, Galway",2017,775.54,273.8105606060606,83.30520833333334,2.832396231479882,930.9621997424128,11.62221678492783,1.4531183386556012
"Athenry, Galway",2018,887.7,284.1095454545454,83.72291666666666,3.124499032863445,1060.283176151492,14.462181189880607,3.761354136848749
"Athenry, Galway",2019,930.34,291.2750909090909,84.56875000000001,3.1940252669610047,1100.0990318527824,4.803424580376259,2.5221065498103545
"Athenry, Galway",2020,975.74,295.81777272727277,84.11145833333333,3.2984495522504558,1160.0559773118507,4.879936367349558,1.5595847224710413
"Athenry, Galway",2021,973.41,309.2805,86.49479166666667,3.147337126006974,1125.397242126814,-0.2387931211183303,4.551020430114283
"Athenry, Galway",2022,991.66,321.86687878787876,93.921875,3.0809631725218227,1055.8349692230909,1.8748523232759107,4.069567524586493
"Athenry, Galway",2023,1090.39,335.2919090909091,99.559375,3.2520617719539366,1095.215794594934,9.95603331787105,4.17098843894339
"Athenry, Galway",2024,1271.66,350.1716666666666,101.09583333333335,3.631533105191264,1257.8757779334787,16.62432707563348,4.4378516666571555
"Athlone, Roscommon",2008,725.03,263.2414696969697,84.23125,2.754239295330701,860.7612970245602,,
"Athlone, Roscommon",2009,668.8,256.8306666666667,79.36041666666667,2.6040503989658554,842.7375108287612,-7.755541150021383,-2.4353317270576103
"Athlone, Roscommon",2010,621.1,256.01466666666664,79.12083333333334,2.4260328835327147,785.001843172363,-7.132177033492814,-0.31771906781642434
"Athlone, Roscommon",2011,606.55,251.39683333333335,81.60104166666666,2.4127193328476024,743.3115896702708,-2.342617935920155,-1.8037378066881438
"Athlone, Roscommon",2012,587.79,258.9757575757576,82.85833333333333,2.2696719009618307,709.3915317308658,-3.0929024812463957,3.0147254211333463
"Athlone, Roscommon",2013,583.81,260.7649393939394,83.11562500000001,2.2388362536653523,702.407038387788,-0.6771125742186856,0.6908684561559575
"Athlone, Roscommon",2014,590.81,261.4159090909091,83.22708333333334,2.260038427097189,709.8770932939497,1.1990202291841445,0.24963850526940057
"Athlone, Roscommon",2015,614.66,266.57742424242423,82.91979166666667,2.305746639074099,741.2705551298317,4.036830791625068,1.9744456905720131
"Athlone, Roscommon",2016,662.17,269.88875757575755,82.96875,2.453492342355644,798.0956685499058,7.729476458529927,1.2421657020446064
"Athlone, Roscommon",2017,725.17,273.8105606060606,83.30520833333334,2.6484369280530546,870.4977930051392,9.514173097542923,1.4531183386556012
"Athlone, Roscommon",2018,816.67,284.1095454545454,83.72291666666666,2.874489833466925,975.4438002339065,12.61773101479653,3.761354136848749
"Athlone, Roscommon",2019,875.19,291.2750909090909,84.56875000000001,3.004685355237442,1034.885817751829,7.165685038020264,2.5221065498103545
"Athlone, Roscommon",2020,917.68,295.81777272727277,84.11145833333333,3.1021800736970895,1091.0285211834496,4.854945783201359,1.5595847224710413
"Athlone, Roscommon",2021,984.57,309.2805,86.49479166666667,3.1834208752249173,1138.299753116156,7.28903321419232,4.551020430114283
"Athlone, Roscommon",2022,1086.1,321.86687878787876,93.921875,3.374376400859117,1156.38662452171,10.312115949094514,4.069567524586493
"Athlone, Roscommon",2023,1258.86,335.2919090909091,99.559375,3.7545194675684224,1264.4314008600395,15.906454285977345,4.17098843894339
"Athlone, Roscommon",2024,1440.42,350.1716666666666,101.09583333333335,4.113468156094869,1424.8064954869553,14.422572803965505,4.4378516666571555
"Athlone, Westmeath",2008,697.84,263.2414696969697,84.23125,2.650950098414654,828.4811159753655,,
"Athlone, Westmeath",2009,661.75,256.8306666666667,79.36041666666667,2.5766004059743643,833.8539889218491,-5.171672589705379,-2.4353317270576103
"Athlone, Westmeath",2010,628.16,256.01466666666664,79.12083333333334,2.453609428626485,793.9249038917267,-5.075935020778244,-0.31771906781642434
"Athlone, Westmeath",2011,617.45,251.39683333333335,81.60104166666666,2.456077078669116,756.6692622898504,-1.7049796230259706,-1.8037378066881438
"Athlone, Westmeath",2012,582.71,258.9757575757576,82.85833333333333,2.2500561653132385,703.2605853364176,-5.626366507409508,3.0147254211333463
"Athlone, Westmeath",2013,586.72,260.7649393939394,83.11562500000001,2.249995729347794,705.9081851336616,0.6881639237356518,0.6908684561559575
"Athlone, Westmeath",2014,600.43,261.4159090909091,83.22708333333334,2.2968380236996073,721.4358306841222,2.3367193891464355,0.24963850526940057
"Athlone, Westmeath",2015,744.81,266.57742424242423,82.91979166666667,2.793972528306348,898.2294637136791,24.04610029478873,1.9744456905720131
"Athlone, Westmeath",2016,682.36,269.88875757575755,82.96875,2.528300941948136,822.430131826742,-8.384688712557553,1.2421657020446064
"Athlone, Westmeath",2017,728.43,273.8105606060606,83.30520833333334,2.6603429699266194,874.4111137508908,6.751568087226678,1.4531183386556012
